0.1	4.44875e-05
0.05	2.55567e-06
0.0025	2.90223e-12
0.025	1.52183e-07
0.0125	9.27267e-09
0.00625	5.74588e-10
0.003125	1.67663e-11
0.1	4.44875e-05
0.01	3.77525e-09
0.001	1.85444e-11
0.0001	7.60215e-10
0.006	4.85548e-10
0.007	8.99119e-10
0.03	3.22177e-07
0.0007	5.74507e-12
0.1	4.44875e-05
0.01	3.77525e-09
0.001	1.85444e-11
0.05	2.55567e-06
0.01	3.77525e-09
0.1	4.44875e-05
0.7	0.119343
0.025	1.52183e-07
0.001	1.85444e-11
0.001	1.85444e-11
0.03	3.22177e-07
0.9	0.254142
0.03	3.22177e-07
0.23	0.00150671


0.01	3.77525e-09
0.01	3.77525e-09
0.01	3.77525e-09
